image_a,image_b,hamming_distance
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__1000010710_x16_jpg.rf.1d1fe1d9e6a9fc0c818c24ba26f51f67.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_derm_34_jpg.rf.3b10703a9ba597586cab6cd3a1c1f62d.jpg,2
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__1000010710_x16_jpg.rf.65768f183867df7f075f5433f130116c.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_183_jpg.rf.e2b9d2a0036b2a6b49b992f0c897d54c.jpg,4
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__1000010710_x16_jpg.rf.65768f183867df7f075f5433f130116c.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_264_jpg.rf.c03d878e2530aec9ada052f8268a3f65.jpg,4
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__1000010710_x16_jpg.rf.65768f183867df7f075f5433f130116c.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_derm_34_jpg.rf.3b10703a9ba597586cab6cd3a1c1f62d.jpg,4
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__56_jpg.rf.7f11b10fc98e2e7acc47e437cddcc773.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__56_jpg.rf.ab88dce56bdbb7d425788fc5cd85c41e.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__752_jpg.rf.0896bdd5ca65d1bd915aed14ee6f39c6.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__752_jpg.rf.80b69e7579b00fb504fc1b2ba32ea050.jpg,4
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__89_jpg.rf.5c3f8ea446deea5b5d9f4398f60f452a.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__89_jpg.rf.f63fba7a31af16699e6e0ffad8ea612d.jpg,2
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__acral_lick_dermatitis_4935_7_600_jpg.rf.53c21eba3dfdae56a8a48f1a8507e40d.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__acral_lick_dermatitis_4935_7_600_jpg.rf.18f24c7aeee4bf22c8c9f4b0a5fc1b8e.jpg,2
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__acute_moist_dermatitis_4935_8_600_jpg.rf.4cbe8aea6b6d22021405051a3b790dcd.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__acute_moist_dermatitis_4935_8_600_jpg.rf.90d082da16fa902e33bfa6d96b6e9fe0.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__atopic_dermatitis_4935_3_600_jpg.rf.11bf699c9c6b770f0bb274060a4c94aa.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__atopic_dermatitis_4935_3_600_jpg.rf.0e2c85acf9cb43f6e1f22e2f05c765b2.jpg,0
