image_a,image_b,hamming_distance
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_22_png.rf.9247d2b79d717bff55504e0e8ca39084.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_22_png.rf.ae7964d28e5854ad247cc0402aa99731.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_240_png.rf.1a4b926fb56929d943500c1eb246eea5.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_240_png.rf.b8a9dc81e034b8505e6f20f3872e8da8.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_240_png.rf.1a4b926fb56929d943500c1eb246eea5.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_44_png.rf.34830836a4d3547bd6f1ed9ef7a71b05.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_243_png.rf.090ec2c522227c53758368b6a40b7fc0.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_243_png.rf.895a8e01d814a44fb5d4a0273284ab27.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_244_png.rf.5cd19bdc520c094f9b25072cacf324a2.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_244_png.rf.16a80c3fedca0a64b72982d655968943.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_245_png.rf.17c7472e2180e0483e5516ef7e5dee87.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_245_png.rf.ee7b06acaa6e2c0fd5bacde9c3ef7049.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_248_png.rf.cb16f5b3943025369fb3f1a4304b95a4.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_248_png.rf.ba64d58f45086a9786f0fcfad5632b4f.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_249_png.rf.860678104b60fccab37a5b2719c2a7e0.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_249_png.rf.9caa994c3fd73fddf70254d0ee495ffd.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_249_png.rf.860678104b60fccab37a5b2719c2a7e0.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_90_png.rf.56025f2b05b8ae08669050020a2b0acc.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_251_png.rf.fc442aa9be0bf923678abc4675c1c733.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_251_png.rf.a484f30f9030e6fa17b080153cd13bc4.jpg,0
